submission_date,state,prob_cases,tot_death
936,15,219623.0,10264
0,15,72034.0,5674
650,14,0.0,2
601,21,4549.0,3344
383,24,16428.0,2426
920,27,0.0,3428
2,20,52670.0,25149
514,14,0.0,2
41,21,544139.0,31987
895,20,13752.0,23798
517,21,3522.0,2818
936,0,222006.0,16441
902,25,0.0,0
80,26,436881.0,22920
32,27,0.0,1493
310,25,0.0,0
553,27,242.0,215
39,20,332658.0,37367
238,15,20.0,121
434,25,0.0,0
508,14,0.0,2
653,20,178830.0,33650
482,15,124240.0,7453
354,24,260669.0,4223
665,15,159640.0,7931
46,15,96713.0,6500
467,27,0.0,2323
633,22,318586.0,14593
792,11,170999.0,21646
367,3,1984.0,971
497,25,0.0,0
998,15,233878.0,10450
855,0,20814.0,4375
741,26,600255.0,27538
1000,25,0.0,0
351,26,488141.0,26198
175,15,4.0,2
61,26,104387.0,9316
670,27,407.0,377
23,7,465246.0,31801
340,27,0.0,46
323,20,159791.0,32443
327,0,363541.0,19650
912,25,0.0,0
742,21,7115.0,4411
644,14,0.0,2
359,25,0.0,0
471,15,369078.0,12481
768,25,0.0,17
475,25,0.0,0
827,3,55551.0,7755
975,7,77799.0,10381
426,26,496704.0,26477
310,21,475.0,557
208,26,0.0,0
289,24,0.0,43
21,7,459598.0,31744
888,11,58315.0,19087
887,3,8960.0,2353
531,0,385369.0,19850
940,11,64120.0,19430
857,14,0.0,2
980,26,298117.0,18145
704,14,0.0,2
524,20,167939.0,33426
59,3,115024.0,11005
387,11,146378.0,20409
565,7,3190.0,3091
762,24,537062.0,5074
613,20,5476.0,23263
841,20,8319.0,23608
403,0,229.0,728
877,0,27407.0,4579
427,11,0.0,7184
634,24,138.0,265
615,15,400249.0,12648
705,20,436896.0,41580
919,27,0.0,787
921,25,3.0,0
393,27,0.0,4761
152,11,131700.0,23370
592,24,104.0,189
593,22,101122.0,7474
227,27,0.0,2082
67,11,25761.0,14768
676,20,5936.0,23354
559,0,998.0,1634
474,15,369454.0,12489
94,7,168229.0,15130
243,3,127376.0,11966
215,21,149174.0,18347
12,22,66351.0,4951
100,27,0.0,1765
695,26,197112.0,13345
433,25,0.0,0
794,7,354522.0,25933
781,24,244.0,633
453,24,355045.0,4408
828,11,173754.0,21771
631,21,5198.0,3618
74,26,430245.0,22776
113,20,339654.0,39417
982,27,0.0,3749
226,24,0.0,1
341,24,15555.0,2306
774,3,159523.0,13263
471,3,140485.0,12632
524,26,152215.0,12568
663,3,155232.0,13090
756,15,426678.0,12853
234,3,127270.0,11951
848,22,150589.0,9497
162,22,272358.0,13278
116,0,347998.0,18746
653,26,173144.0,12941
246,21,601422.0,37793
721,26,4048.0,1837
699,7,652777.0,39632
369,11,143044.0,20357
274,24,0.0,30
4,11,16565.0,12821
977,7,78330.0,10383
91,7,168013.0,15092
177,21,597926.0,37018
724,24,198.0,468
772,21,7962.0,4635
700,21,6429.0,4126
862,26,271702.0,16175
940,7,379719.0,30571
270,27,0.0,4730
61,3,22868.0,5569
990,25,0.0,0
778,25,0.0,0
369,26,489423.0,26240
960,14,0.0,5
24,20,65058.0,25799
992,27,0.0,3770
536,15,125519.0,7507
582,27,0.0,4869
180,24,207609.0,4140
768,14,0.0,40
924,24,33922.0,3266
233,15,117508.0,7184
372,24,277114.0,4240
258,3,127674.0,11977
306,26,485820.0,26109
769,22,3427.0,1264
30,26,93099.0,8311
834,22,346744.0,14924
210,3,126872.0,11887
461,26,150875.0,12496
543,20,399607.0,40832
358,21,999.0,1271
889,25,0.0,0
853,26,10753.0,2909
289,0,103.0,180
841,24,291.0,747
5,11,82557.0,20315
587,26,155884.0,12666
648,24,489749.0,4830
853,21,10627.0,5075
759,14,0.0,40
866,20,204438.0,34537
230,0,110920.0,10927
42,14,0.0,0
578,25,0.0,0
11,26,333543.0,21035
243,0,361120.0,19562
760,20,6637.0,23479
347,22,94878.0,7261
245,3,30612.0,6099
286,24,0.0,37
79,14,0.0,2
356,21,173193.0,19344
914,25,0.0,0
617,22,104553.0,7524
361,24,13.0,100
605,25,0.0,0
455,26,150724.0,12492
247,26,7.0,13
490,26,228.0,515
927,21,21120.0,6274
791,21,252767.0,21945
413,26,149473.0,12400
841,27,0.0,529
665,3,44319.0,7047
378,3,132364.0,12513
380,27,0.0,2256
68,25,0.0,0
52,25,0.0,0
796,20,7185.0,23530
626,20,175288.0,33564
547,27,236.0,209
827,20,200130.0,34391
259,26,8.0,37
834,0,445541.0,20508
599,3,41788.0,6924
806,25,0.0,0
901,26,18198.0,3761
142,0,102887.0,10497
585,15,394345.0,12589
283,14,0.0,2
194,0,106176.0,10783
212,7,201333.0,18464
269,26,137400.0,11976
1,11,80651.0,20273
498,24,389523.0,4504
980,11,72973.0,19927
791,22,141822.0,8970
491,22,96281.0,7362
707,26,204164.0,13486
91,3,24417.0,5731
41,20,332658.0,37367
497,15,124485.0,7460
133,0,101395.0,10430
498,21,650437.0,38657
273,0,362179.0,19605
516,24,404010.0,4544
145,21,136255.0,17125
807,14,0.0,40
488,3,39607.0,6725
943,27,0.0,917
262,20,876.0,4504
851,21,280182.0,23327
246,11,134243.0,20098
841,25,0.0,0
25,22,205243.0,11740
22,24,5660.0,1660
427,14,0.0,2
127,7,179452.0,16610
710,20,185968.0,33864
56,14,0.0,23
981,15,59342.0,5230
743,11,51885.0,18362
598,25,0.0,0
378,7,568890.0,38086
774,0,441556.0,20477
68,0,330788.0,17896
13,15,253196.0,10527
216,14,0.0,31
785,20,194783.0,34196
215,25,0.0,0
963,24,2580.0,1271
453,21,639557.0,38657
47,21,550048.0,31987
936,24,34065.0,3269
455,24,17196.0,2514
825,3,160802.0,13333
454,15,149.0,1115
261,7,561380.0,37127
460,15,154.0,1135
536,26,152544.0,12576
270,26,484608.0,25882
613,7,6287.0,3752
609,3,152454.0,12986
978,7,387234.0,31038
635,26,166595.0,12835
960,27,0.0,3640
305,26,140939.0,12081
710,14,0.0,2
219,11,133404.0,20041
149,0,353102.0,19144
640,14,0.0,2
403,11,0.0,6678
970,3,74725.0,9841
930,22,161873.0,11223
957,27,0.0,1016
436,15,136.0,1046
7,15,244063.0,10492
881,22,13524.0,1992
838,25,0.0,0
746,26,233631.0,14010
390,26,491304.0,26267
170,11,31902.0,16420
621,24,470583.0,4778
29,3,102041.0,10616
80,24,201402.0,3925
583,15,1576.0,1992
798,26,609228.0,27818
363,7,566434.0,37969
17,27,0.0,3896
723,7,657106.0,39772
164,21,140103.0,17189
692,15,174890.0,8279
22,11,20055.0,13474
218,11,35088.0,16938
374,3,37099.0,6402
425,20,166325.0,33221
151,24,8114.0,2023
165,14,0.0,30
112,7,173958.0,15871
329,26,143584.0,12163
532,26,339.0,633
420,0,367945.0,19713
230,21,151721.0,18388
329,27,0.0,2186
914,3,68232.0,8834
867,15,15251.0,3620
829,20,8046.0,23585
776,22,139428.0,8772
664,3,3987.0,1896
807,3,160329.0,13316
128,24,205700.0,4078
595,15,1856.0,2094
279,7,561826.0,37332
363,20,361221.0,40241
